### Data corresponds to coordinates of Orlando Neighborhoods sources: Wikipedia and Geocoder.

Neighborhood,Latitude,Longitude
 Beltway Commerce Center,28.4760126,-81.23284482
 East Park,28.42365085,-81.23569443
 Narcoossee South,28.3501923,-81.23721712
 Randal Park,28.4395828,-81.2372432
 LaVina,28.42786825,-81.24940568
 Bal Bay,28.4433615,-81.25256315
 Bel Air,28.7949929,-81.2545088
 Vista East,28.4721857,-81.25576584
 Lake Nona Estates,28.4153884,-81.25732174
 Lake Nona South,28.3773255,-81.26172996
 NorthLake Park at Lake Nona,28.4218856,-81.26522257
 City of Orlando/GOAA,28.35542195,-81.2662578
 Lake Nona Central,28.3940034,-81.26745192
 Ventura,28.50932145,-81.29628178
Airport North,28.4653738,-81.29828321
 Engelwood Park,28.53171715,-81.29923037
 Azalea Park,28.54736095,-81.30104665
 Countryside,28.48444805,-81.30403386
 Orlando International Airport,28.41290355,-81.3094431
 Lake Fredrica,28.5045375,-81.31207603
 South Semoran,28.50162165,-81.31231166
 Dixie Belle,28.51887595,-81.31448605
 Boggy Creek,28.347292,-81.318775
 Dover Manor,28.52802005,-81.32128367
 Bryn Mawr,28.51015495,-81.32365112
 The Dovers,28.53579555,-81.32396109
 Mariners Village,28.51498635,-81.32468535
 Dover Estates,28.51975115,-81.32489805
 Baldwin Park,28.5695162,-81.32751286
 Dover Shores East,28.53299375,-81.3280583
 Conway,28.5024064,-81.3308924
 Orlando Executive Airport,28.54617435,-81.33163591
 Crescent Park,28.4636516,-81.33601287
 Wedgewood Groves,28.51594165,-81.33715803
 Dover Shores West,28.5282882,-81.3372832
 Lake Underhill,28.5347367,-81.33735831
 Colonial Town Center,28.5545855,-81.33763652
 Audubon Park,28.5649865,-81.34094435
 East Central Park,28.5443922,-81.34780085
 Coytown,28.55630875,-81.35002659
 Colonialtown North,28.5604652,-81.35806053
 Colonialtown South,28.54906325,-81.35819005
 Rowena Gardens,28.5689832,-81.35840837
 Lawsona/Fern Creek,28.54178695,-81.35924155
 Rose Isle,28.57413945,-81.35981249
 Lake Weldona,28.5282788,-81.36205147
 Lake Davis/Greenwood,28.5331493,-81.362109
 Lancaster Park,28.5231275,-81.36338256
 Thornton Park,28.5432787,-81.3645826
 Pineloch,28.508472,-81.36498794
 Orwin Manor,28.581689,-81.36533112
 Southern Oaks,28.50460975,-81.3659488
 Lake Formosa,28.56963335,-81.36832952
 Wadeview Park,28.51721915,-81.36904185
 Park Lake/Highland,28.5586222,-81.3690553
 Delaney Park,28.5291023,-81.37159378
 Lake Cherokee,28.53259655,-81.37250058
 Lake Copeland,28.526635,-81.3744004
 South Orange,28.5169957,-81.37869919
 Lake Holden,28.5095016,-81.38255899
 South Division,28.52199635,-81.38387606
 Lake Dot,28.55205625,-81.38665276
 Holden Heights,28.5202889,-81.38754052
 Holden/Parramore,28.5370044,-81.38988148
 Palomar,28.58696645,-81.40001026
 Lorna Doone,28.537477,-81.40211176
 Rock Lake,28.54834355,-81.40355537
 Rio Grande Park,28.5116438,-81.40424515
 Lake Sunset,28.53620035,-81.40973017
 Lake Shore Village,28.58652965,-81.40974585
 Lake Fairview,28.60070935,-81.41101809
 West Colonial,28.55310915,-81.41184936
 Clear Lake,28.5274302,-81.41210888
 Park Central,28.4903736,-81.41347857
 Haralson Estates,28.54982845,-81.41596067
 Catalina,28.51416085,-81.41770501
 Lake Mann Estates,28.5381316,-81.41930591
 Washington Shores,28.53014425,-81.42062989
 Princeton/Silver Star,28.57587445,-81.42073297
 Johnson Village,28.5237365,-81.42339169
 Lake Mann Gardens,28.5317892,-81.4301197
 Roosevelt Park,28.5243517,-81.43022928
 Mercy Drive,28.5724475,-81.4306817
 Rosemont,28.6004594,-81.43209407
 Millenia,28.4882989,-81.43232738
 Seaboard Industrial,28.583557,-81.43399836
 Camellia Gardens,28.476298,-81.4347505
33rd Street Industrial,28.5058667,-81.43520883
 Richmond Estates,28.5134172,-81.43610729
 Malibu Groves,28.53943315,-81.43798019
 Lake Richmond,28.5127338,-81.43965198
